year,value
1990,4.252130024582792
1991,4.164266614972184
1992,4.124450407968126
1993,4.072076788973206
1994,4.05056283126491
1995,4.040954406259316
1996,4.112212422125898
1997,4.146046536636033
1998,4.138455458334283
1999,4.119653587046037
2000,4.128655445380534
2001,4.191664282104812
2002,4.213074629598135
2003,4.343022401693162
2004,4.413470541232458
2005,4.439099690912446
2006,4.510944196966393
2007,4.513764656825212
2008,4.480419453364644
2009,4.26748911641761
2010,4.4075968165399555
2011,4.414619156868982
2012,4.414974697396753
2013,4.384888099892117
2014,4.297591909945991
2015,4.231183179525941
2016,4.212386664681335
2017,4.214750493437885
2018,4.209693824682222
2019,4.149905489393767
2020,3.865743876434312
